"variable","method","DP_mean","DP_sd","Precision_mean","Precision_sd","FP_mean","FP_sd","Specificity_mean","Specificity_sd","F1_Score_mean","F1_Score_sd","herd","ngenes","methodology"
8,"BO",85.05,4.27050873994647,6.59041730466784,0.376221671502876,13.5159663865546,0.346606072355624,86.4840336134454,0.346606072355622,12.2324850760254,0.68869920796641,"h2 = 0.5",40,"ML"
8,"Blink",1.5,1.23717914826348,11.1904761904762,9.9049114139871,0.140056022408964,0.0693097562052372,99.859943977591,0.0693097562052405,2.62971995626945,2.17102226107027,"h2 = 0.5",40,"MM"
8,"CMLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",40,"MM"
8,"DT",19,3.42559394522337,8.13097015959237,1.56810066807445,2.43137254901961,0.294274130625854,97.5686274509804,0.29427413062585,11.3489076306923,1.98334785795902,"h2 = 0.5",40,"ML"
8,"FarmCPU",4,3.42559394522337,20.0810810810811,17.716413009779,0.481792717086835,0.74978507065246,99.5182072829132,0.749785070652463,4.86498063340169,2.79367481605364,"h2 = 0.5",40,"MM"
8,"GLM",29,6.3084006188056,2.15103887842315,0.255548071583936,15.3053221288515,4.89847570292631,84.6946778711485,4.89847570292631,3.97828574508202,0.386158168245014,"h2 = 0.5",40,"MM"
8,"MARS 1",4,1.23717914826348,32,9.89743318610787,0.0952380952380952,0.0138619512410474,99.9047619047619,0.0138619512410509,7.11111111111111,2.19942959691286,"h2 = 0.5",40,"ML"
8,"MARS 2",6.5,2.57539376818856,21.965034965035,9.08273776200591,0.257703081232493,0.0375383414151535,99.7422969187675,0.0375383414151534,10.0185321153135,4.00152097273345,"h2 = 0.5",40,"ML"
8,"MARS 3",20,3.91230398217976,21.8793777360851,6.41672574088307,0.823529411764706,0.131018051570587,99.1764705882353,0.131018051570584,20.8455383653696,4.99369511059276,"h2 = 0.5",40,"ML"
8,"MLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",40,"MM"
8,"MLMM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",40,"MM"
8,"RF",96,2.76641667586244,3.19317680753009,0.0982520380089929,32.6196078431373,0.740701358862163,67.3803921568627,0.740701358862165,6.18067479354567,0.18828078826825,"h2 = 0.5",40,"ML"
8,"SUPER",59.5,6.26783170528009,2.1376025185307,0.198730020080246,31.0196078431373,5.6215467955371,68.9803921568627,5.6215467955371,4.12148088317532,0.354282882313875,"h2 = 0.5",40,"MM"
9,"BA",91.35,2.11046952895631,7.52791230856445,0.315423433180885,28.7233226837061,1.22340645297507,71.2766773162939,1.22340645297508,13.9080796553088,0.548288412170698,"h2 = 0.5",80,"ML"
9,"BO",78.275,3.7702683550893,13.1007922684425,0.782893178396103,13.2869009584665,0.487812622129982,86.7130990415336,0.487812622129983,22.4423880039208,1.28303641881467,"h2 = 0.5",80,"ML"
9,"Blink",2.5,1.78571428571429,32.0952380952381,20.829216586177,0.134185303514377,0.0516371907758319,99.8658146964856,0.0516371907758329,4.61036425418676,3.25573298955608,"h2 = 0.5",80,"MM"
9,"CMLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",80,"MM"
9,"DT",12.5,1.12938487863156,12.5175998289029,2.25535344300455,2.27476038338658,0.272627741178787,97.7252396166134,0.272627741178787,12.4771675627225,1.642635388501,"h2 = 0.5",80,"ML"
9,"FarmCPU",4.5,3.25372627826582,9.40874065554917,8.58058779205987,1.59744408945687,1.38210898491344,98.4025559105431,1.38210898491344,4.64087146174791,2.99310995315465,"h2 = 0.5",80,"MM"
9,"GLM",31.25,8.4137278495641,4.34331521986447,0.588353178627289,18.1533546325879,6.14933281144815,81.8466453674122,6.14933281144815,7.5397195115386,0.781689426534604,"h2 = 0.5",80,"MM"
9,"MARS 1",4,1.47253772343488,32,11.780301787479,0.217252396166134,0.0376367469248531,99.7827476038339,0.0376367469248536,7.11111111111111,2.61784484166201,"h2 = 0.5",80,"ML"
9,"MARS 2",9.25,1.28769688409428,31.7592592592593,4.84681084006558,0.511182108626198,0.0645464884697898,99.4888178913738,0.0645464884697873,14.3104128783073,1.97379874050651,"h2 = 0.5",80,"ML"
9,"MARS 3",22.25,3.13391585264004,25.7121608628673,3.77091698032694,1.64856230031949,0.149435924634823,98.3514376996805,0.149435924634824,23.8275838275838,3.28615225854768,"h2 = 0.5",80,"ML"
9,"MLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",80,"MM"
9,"MLMM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",80,"MM"
9,"RF",91.225,2.27970750898676,7.03830362661477,0.269567984343519,30.8313099041534,1.19753289839069,69.1686900958466,1.19753289839069,13.0672002662037,0.474248129886334,"h2 = 0.5",80,"ML"
9,"SUPER",19.25,6.71010508144855,4.11884994539068,0.390070429472347,11.8913738019169,4.59303487265289,88.1086261980831,4.59303487265289,6.445175141747,0.512684317527767,"h2 = 0.5",80,"MM"
10,"BA",91.8166666666667,2.20601373491632,13.2227603851924,0.452956979389382,26.907063197026,1.02513901125064,73.092936802974,1.02513901125064,23.1135223231507,0.719007736900874,"h2 = 0.5",120,"ML"
10,"BO",80.05,2.62666640767981,22.2529835089251,0.930232870034806,12.489219330855,0.496879371239896,87.510780669145,0.496879371239896,34.8195066923557,1.32211392372774,"h2 = 0.5",120,"ML"
10,"Blink",2.16666666666667,1.14186464840779,37.6190476190476,18.4678530074806,0.156133828996283,0.0437929434478774,99.8438661710037,0.043792943447876,4.09464441944757,2.14700945323168,"h2 = 0.5",120,"MM"
10,"CMLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",120,"MM"
10,"DT",16.5,2.98332478241468,27.9266028840487,5.52092067676087,1.91078066914498,0.226062630417342,98.089219330855,0.226062630417342,20.7237276694785,3.83749608244838,"h2 = 0.5",120,"ML"
10,"FarmCPU",8.83333333333333,2.84720493883367,21.7046696772843,22.7784402089234,3.27881040892193,1.85043286163633,96.7211895910781,1.85043286163633,9.44630933698687,1.83775119750116,"h2 = 0.5",120,"MM"
10,"GLM",43.1666666666667,7.72251178106041,6.68861889283847,0.200452656321815,26.7657992565056,4.15829540219935,73.2342007434944,4.15829540219936,11.5516735485244,0.551757859231202,"h2 = 0.5",120,"MM"
10,"MARS 1",3.66666666666667,1.25988157669742,44,15.1185789203691,0.20817843866171,0.056202895614755,99.7918215613383,0.0562028956147481,6.76923076923077,2.32593521851832,"h2 = 0.5",120,"ML"
10,"MARS 2",9,2.73550602216097,45.7246376811594,13.8932497472527,0.475836431226766,0.119696523309449,99.5241635687732,0.119696523309447,15.03885003885,4.56914803702032,"h2 = 0.5",120,"ML"
10,"MARS 3",21,5.00566572419729,32.196008415688,4.46759674749148,1.94052044609665,0.183045012635306,98.0594795539033,0.183045012635309,25.3259167055534,4.94124221566523,"h2 = 0.5",120,"ML"
10,"MLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",120,"MM"
10,"MLMM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",120,"MM"
10,"RF",92.3166666666667,2.02233840088887,12.5024822733196,0.440661527883421,28.853531598513,1.13788211697849,71.146468401487,1.13788211697849,22.0196199543766,0.703490395242372,"h2 = 0.5",120,"ML"
10,"SUPER",39.3333333333333,3.81695703378129,7.18412382007807,0.305795043010974,22.6617100371747,1.92002732688733,77.3382899628253,1.92002732688733,12.1380113632262,0.563669917714721,"h2 = 0.5",120,"MM"
11,"BA",91.775,1.87440466739252,46.4650909143035,1.02792412287345,18.5343065693431,0.714242328359718,81.4656934306569,0.71424232835972,61.6870789357225,1.14167277585124,"h2 = 0.5",240,"ML"
11,"BO",76.6083333333333,2.46001182177349,64.075681057174,1.91773307159035,7.54014598540146,0.64604410098217,92.4598540145985,0.646044100982172,69.7553515472275,1.6291473809,"h2 = 0.5",240,"ML"
11,"Blink",1.41666666666667,1.23717914826348,93.0555555555556,9.13560669303281,0.0437956204379562,0.058987009900859,99.956204379562,0.0589870099008588,2.75145556123571,2.37734979114975,"h2 = 0.5",240,"MM"
11,"CMLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",240,"MM"
11,"DT",14.5,1.04463861754668,62.1687410154678,6.22762710013148,1.57664233576642,0.402778058724254,98.4233576642336,0.402778058724253,23.4803812917608,1.6202018060902,"h2 = 0.5",240,"ML"
11,"FarmCPU",10.8333333333333,3.53152308909317,46.18693085863,5.70199411568353,2.42335766423358,1.22264719141605,97.5766423357664,1.22264719141604,17.0330848311361,4.4281610532116,"h2 = 0.5",240,"MM"
11,"GLM",44.4166666666667,6.83150796923979,32.3556277339999,0.66022360358735,16.2773722627737,2.51776777218971,83.7226277372263,2.51776777218971,37.2414417853136,2.25665611344657,"h2 = 0.5",240,"MM"
11,"MARS 1",3.83333333333333,0.314970394174356,92,7.55928946018454,0.0583941605839416,0.0551772953298142,99.9416058394161,0.055177295329814,7.36,0.604743156814763,"h2 = 0.5",240,"ML"
11,"MARS 2",8.58333333333333,0.570932324203896,83.0950080515298,3.79298700416908,0.306569343065693,0.072244037854802,99.6934306569343,0.0722440378548017,15.5555568583118,0.973791478365543,"h2 = 0.5",240,"ML"
11,"MARS 3",21.8333333333333,1.6538623796964,70.0180596539824,5.45418276841176,1.67883211678832,0.466333259124044,98.3211678832117,0.466333259124044,33.1953354151272,1.84217422350854,"h2 = 0.5",240,"ML"
11,"MLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",240,"MM"
11,"MLMM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.5",240,"MM"
11,"RF",91.375,1.62849571670291,45.0425445146312,1.04729278407491,19.5445255474453,0.774107591652522,80.4554744525547,0.774107591652522,60.3333275154999,1.11961203852526,"h2 = 0.5",240,"ML"
11,"SUPER",46.5833333333333,6.99955456956624,33.3094045453052,0.859598355384174,16.3065693430657,2.18361513367208,83.6934306569343,2.18361513367208,38.6717103055423,2.74797119682284,"h2 = 0.5",240,"MM"
13,"BA",100,0,2.67636027469881,0.168856312982078,7.44926058133605,0.515104650256793,92.550739418664,0.515104650256792,5.2126795868982,0.320812262508691,"h2 = 0.8",8,"ML"
13,"BO",100,0,4.32170378402459,0.535726659350486,4.5859255481897,0.581060521261889,95.4140744518103,0.58106052126189,8.2803939963407,0.982747400411214,"h2 = 0.8",8,"ML"
13,"Blink",65,14.7253772343488,63.0714285714286,11.9775230282619,0.0764915859255482,0.023036917463163,99.9235084140744,0.0230369174631642,63.8333333333333,12.9931082377545,"h2 = 0.8",8,"MM"
13,"CMLM",0,0,0,0,0.00509943906170321,0.0103024226879369,99.9949005609383,0.0103024226879374,0,0,"h2 = 0.8",8,"MM"
13,"DT",92.5,6.18589574131742,18.4684049800329,2.69160355882099,0.851606323304436,0.136871087841888,99.1483936766956,0.13687108784189,30.6797958783238,3.60925532577651,"h2 = 0.8",8,"ML"
13,"FarmCPU",62.5,15.9719141249985,65,13.1865795748164,0.0662927078021418,0.0206048453758738,99.9337072921979,0.0206048453758749,63.6666666666667,14.6539833842182,"h2 = 0.8",8,"MM"
13,"GLM",82.5,6.18589574131742,1.91205888677548,0.350199304049081,9.01070882202958,2.27451502110497,90.9892911779704,2.27451502110497,3.73416005412342,0.671239489462923,"h2 = 0.8",8,"MM"
13,"MARS 1",100,0,81.7777777777778,3.59165349174119,0.0458949515553289,0.0103024226879369,99.9541050484447,0.0103024226879374,89.9346405228758,2.11273734808305,"h2 = 0.8",8,"ML"
13,"MARS 2",100,0,68.0652680652681,4.28523688102442,0.096889342172361,0.0192740679759932,99.9031106578276,0.0192740679759943,80.922305764411,3.05448134319072,"h2 = 0.8",8,"ML"
13,"MARS 3",100,0,13.6030669164998,1.09034672949067,1.30545639979602,0.12659828948046,98.694543600204,0.126598289480458,23.932439078918,1.69850697521629,"h2 = 0.8",8,"ML"
13,"MLM",0,0,0,0,0.00509943906170321,0.0103024226879369,99.9949005609383,0.0103024226879374,0,0,"h2 = 0.8",8,"MM"
13,"MLMM",45,23.4194233010786,46.468253968254,23.5899877745365,0.0662927078021418,0.0349372151476121,99.9337072921979,0.0349372151476141,45.5980392156863,23.2968448409813,"h2 = 0.8",8,"MM"
13,"RF",100,0,2.57472034738809,0.182900092369713,7.75981642019378,0.597020950218472,92.2401835798062,0.597020950218472,5.01957673888866,0.348072863333423,"h2 = 0.8",8,"ML"
13,"SUPER",92.5,6.18589574131742,1.29825754012825,0.147681417162776,14.5690973992861,2.20015225682721,85.4309026007139,2.20015225682721,2.5596934031483,0.2852720517578,"h2 = 0.8",8,"MM"
14,"BA",95.7,2.81395937194174,3.79754562456726,0.151696675219186,27.1792717086835,0.569978814254375,72.8207282913165,0.569978814254375,7.30510295952874,0.28787340985782,"h2 = 0.8",40,"ML"
14,"BO",88.3,3.92662289339564,7.43346490444177,0.453884377144727,12.3422969187675,0.56278753821826,87.6577030812325,0.562787538218258,13.7107698699037,0.805468351278318,"h2 = 0.8",40,"ML"
14,"Blink",10.5,6.46813224152673,55.6666666666667,20.303814862217,0.0728291316526611,0.0138619512410474,99.9271708683473,0.0138619512410439,17.4630887401074,10.1124668665382,"h2 = 0.8",40,"MM"
14,"CMLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",40,"MM"
14,"DT",16.5,3.77964473009227,7.14534559643255,1.69916304159366,2.40896358543417,0.080032012805122,97.5910364145658,0.0800320128051207,9.97162917908315,2.34487272399843,"h2 = 0.8",40,"ML"
14,"FarmCPU",19,5.89015089373952,13.4011073082213,15.7476489846858,3.51260504201681,2.11310280117322,96.4873949579832,2.11310280117322,10.2772048696394,3.61022135217001,"h2 = 0.8",40,"MM"
14,"GLM",47.5,8.74817765279707,1.67599043962604,0.155408579259765,31.4397759103641,6.36839624140291,68.5602240896359,6.36839624140291,3.23391187123885,0.294417380484511,"h2 = 0.8",40,"MM"
14,"MARS 1",6,2.02030508910442,46,15.1185789203691,0.0784313725490196,0.021174480280629,99.921568627451,0.0211744802806281,10.6086956521739,3.54939476283129,"h2 = 0.8",40,"ML"
14,"MARS 2",14,3.03045763365663,41.5018315018315,7.19837234988348,0.218487394957983,0.021174480280629,99.781512605042,0.0211744802806343,20.9245820566575,4.30322834822593,"h2 = 0.8",40,"ML"
14,"MARS 3",25.5,2.47435829652697,25.2309479138747,2.16969367463935,0.84593837535014,0.0277239024820948,99.1540616246499,0.027723902482093,25.3609367317302,2.30620115942043,"h2 = 0.8",40,"ML"
14,"MLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",40,"MM"
14,"MLMM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",40,"MM"
14,"RF",94.7,2.79576939868299,3.49524729078084,0.11913170260981,29.3070028011204,0.632526622307674,70.6929971988796,0.632526622307673,6.74156868995015,0.227227840507072,"h2 = 0.8",40,"ML"
14,"SUPER",49,6.50745255653164,1.83164641730554,0.130932640162585,29.4677871148459,3.67938420505984,70.5322128851541,3.67938420505984,3.52950140726456,0.249749412971706,"h2 = 0.8",40,"MM"
15,"BA",91.225,2.40230013078453,7.95986205717165,0.247518918605973,26.9750798722045,0.775778979251815,73.0249201277955,0.775778979251815,14.6413294040029,0.436337668799977,"h2 = 0.8",80,"ML"
15,"BO",82.675,3.33130252763273,14.166537902729,0.596649781815949,12.8115015974441,0.454124800139945,87.1884984025559,0.454124800139945,24.1853348789247,0.975175118302252,"h2 = 0.8",80,"ML"
15,"Blink",3.5,2.02030508910442,56.3174603174603,34.3521174862916,0.0638977635782748,0.0577321343709426,99.9361022364217,0.0577321343709429,6.49479596603291,3.69274258112175,"h2 = 0.8",80,"MM"
15,"CMLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",80,"MM"
15,"DT",13.75,5.1135075225987,14.0700972507518,5.54649588322311,2.23003194888179,0.379893236817614,97.7699680511182,0.379893236817615,13.8915574027657,5.33008788722625,"h2 = 0.8",80,"ML"
15,"FarmCPU",17.75,4.94871659305393,6.1404846270798,0.869269339427419,7.17571884984026,2.53040346688362,92.8242811501597,2.53040346688362,8.89730498614828,0.788503050519526,"h2 = 0.8",80,"MM"
15,"GLM",47.5,8.10486122707873,3.53951239417312,0.0831493843295016,33.1693290734824,6.05029600644104,66.8306709265176,6.05029600644105,6.57402307702362,0.11994664106479,"h2 = 0.8",80,"MM"
15,"MARS 1",1.25,1.12938487863156,20,18.070158058105,0.12779552715655,0.0288660671854713,99.8722044728434,0.0288660671854683,2.35294117647059,2.12590094801236,"h2 = 0.8",80,"ML"
15,"MARS 2",6.5,2.17241518939222,37.3699633699634,10.9155151082838,0.274760383386581,0.0437775584054105,99.7252396166134,0.043777558405411,11.0691760286096,3.62397356750387,"h2 = 0.8",80,"ML"
15,"MARS 3",14.5,2.20157642963178,29.7346095417565,3.72181591399936,0.875399361022364,0.0806185382594965,99.1246006389776,0.0806185382594934,19.4723370801538,2.73218702996016,"h2 = 0.8",80,"ML"
15,"MLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",80,"MM"
15,"MLMM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",80,"MM"
15,"RF",90.775,2.92214015085254,7.38487361933355,0.279928451464618,29.117571884984,0.941248269018529,70.882428115016,0.941248269018529,13.6577251315855,0.500598591089687,"h2 = 0.8",80,"ML"
15,"SUPER",48,11.6441717049294,3.77862607290421,0.122230773392642,31.1246006389776,6.90838626673242,68.8753993610224,6.90838626673242,6.98334493201206,0.295342522387734,"h2 = 0.8",80,"MM"
16,"BA",90.0833333333333,2.38838126758796,13.4200923906611,0.383623819794666,25.9323420074349,0.521966089748926,74.0676579925651,0.521966089748925,23.3592948729232,0.646294428351432,"h2 = 0.8",120,"ML"
16,"BO",78.1833333333333,3.09839582515572,22.2412730136581,0.984152752840218,12.2007434944238,0.385380829665995,87.7992565055762,0.385380829665994,34.627390138408,1.45380940231797,"h2 = 0.8",120,"ML"
16,"Blink",3.33333333333333,1.68358757425368,49.2063492063492,8.5298153622694,0.156133828996283,0.0801894257596468,99.8438661710037,0.0801894257596473,6.15788376598879,2.98470380651482,"h2 = 0.8",120,"MM"
16,"CMLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",120,"MM"
16,"DT",13.6666666666667,2.84720493883367,21.0169065676108,3.74050114487187,2.27509293680297,0.11240579122951,97.724907063197,0.112405791229513,16.5509522746357,3.23245551931175,"h2 = 0.8",120,"ML"
16,"FarmCPU",23.1666666666667,2.4628762935211,8.60346900297987,1.23823146171208,11.3159851301115,2.57582492964864,88.6840148698885,2.57582492964865,12.4258844754408,1.10401240836136,"h2 = 0.8",120,"MM"
16,"GLM",55.5,8.30948969838816,6.37760090476702,0.129429600309938,36.2676579925651,4.81638063277153,63.7323420074349,4.81638063277153,11.4223037370036,0.364179006973557,"h2 = 0.8",120,"MM"
16,"MARS 1",1.33333333333333,0.673435029701474,33,15.5182578445717,0.118959107806691,0.0281014478073775,99.8810408921933,0.0281014478073802,2.56258064516129,1.29104917001485,"h2 = 0.8",120,"ML"
16,"MARS 2",4.83333333333333,0.981691815623252,43.1417797888386,10.6986988924976,0.297397769516729,0.097923998484258,99.7026022304833,0.097923998484257,8.68055377698098,1.79132530984793,"h2 = 0.8",120,"ML"
16,"MARS 3",11.3333333333333,0.412393049421161,35.4206588891785,2.86894071924759,0.929368029739777,0.10883643936229,99.0706319702602,0.108836439362291,17.1553523906508,0.69141352361964,"h2 = 0.8",120,"ML"
16,"MLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",120,"MM"
16,"MLMM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",120,"MM"
