"method","variable","type","Time_Format","Min_Sec","Max_Sec"
"BA",7,"ML (Machine Learning)","664.01 ± 18.77 s",618.694706916809,693.518095970154
"BA",16,"ML (Machine Learning)","665.79 ± 28.29 s",621.172652006149,715.591627836227
"BA",14,"ML (Machine Learning)","674 ± 24.17 s",621.675638914108,711.899640083313
"CMLM",14,"MM (Statistical)","677.93 ± 57.99 s",628.825273036957,818.060923099518
"CMLM",7,"MM (Statistical)","688.62 ± 68.72 s",623.336131095886,827.29563498497
"CMLM",17,"MM (Statistical)","689.73 ± 62.53 s",636.467533111572,810.474666118622
"BA",10,"ML (Machine Learning)","701.96 ± 20.78 s",683.127582073212,753.80992102623
"CMLM",9,"MM (Statistical)","702.53 ± 71.01 s",610.821228981018,818.186341047287
"CMLM",16,"MM (Statistical)","709.95 ± 82 s",618.783261060715,837.202728033066
"CMLM",11,"MM (Statistical)","712 ± 72.11 s",622.108534097672,832.987068891525
"BA",11,"ML (Machine Learning)","719.26 ± 19.41 s",683.161628961563,754.039694070816
"CMLM",13,"MM (Statistical)","723.42 ± 62.39 s",637.096713781357,817.549460887909
"CMLM",10,"MM (Statistical)","727.06 ± 64.19 s",637.631164073944,797.441339969635
"BA",9,"ML (Machine Learning)","729.32 ± 16.41 s",697.800405025482,762.914545059204
"CMLM",15,"MM (Statistical)","736.86 ± 76.09 s",636.947067975998,824.912299156189
"CMLM",8,"MM (Statistical)","738.96 ± 59.54 s",641.668340206146,799.459257125854
